A.S	ey z
DONOHOE	d aa n ah hh ow
DONOR'S	d ow n er z
DONS	d aa n z
DONUT	d ow n ah t
DOODLE	d uw d ah l
DOOLEN	jh uw l ah n
DOONAN	d uw n ah n
DOORMAT	d ao r m ae t
DOPE	d ow p
DOPP	d aa p
DORAIS	d er ey
DORDIES	d ao r d iy z
DORETTE	d er eh t
DORETTI	d ao r eh t iy
DORFF	d ao r f
DORIA	d ao r iy ah
DORIAN	d ao r iy ah n
DORICE	d ao r ih s
DORINE	d ao r iy n iy
DOROUGH	d ao r aw
DORRIE	d ao r iy
DORSEY	d ao r s iy
DORSI	d ao r s iy
DORTON	d ao r t ah n
DOSAGE	d ow s ah jh
DOSAGES	d ow s ih jh ih z
DOSTIE	d aa s t iy
DOTS	d aa t s
DOTTED	d aa t ah d
DOUBTED	d aw t ih d
DOUDNA	d aw d n ah
DOUGENS	d aw g ah n z
DOUGHER	d ow er
DOUGLAS	d ah g l ah s
DOUKAS	d aw k ah z
DOUR	d aw er
DOWDELL	d aw d ah l
DOWLER	d aw l er
DOWSMAN	d aw z m ah n
DOYEN	d oy ih n
DOYLE'S	d oy l z
DRAB	d r ae b
DRAGONS	d r ae g ah n z
DRAHEIM	d r ae hh ay m
DRAHOS	d r ey hh ow z
DRAINS	d r ey n z
DRAM	d r ae m
DRAMS	d r ae m z
DRAY	d r ey
DRAYER	d r ey er
DREADED	d r eh d ih d
DREGS	d r eh g z
DREMAN	d r iy m ah n
DRENNAN	d r eh n ah n
DRESHER	d r eh sh er
DRESSED	d r eh s t
DRESSES	d r eh s ah z
DRIBS	d r ih b z
DRIEST	d r ay ah s t
DRING	d r ih ng
DRIVE'S	d r ay v z
DROBKOV	d r ao b k ao v
DROOPED	d r uw p t
DROPLET	d r aa p l ah t
DROPSY	d r aa p s iy
DROST	d r aa s t
DRUCIE	d r ah k iy
DRUELLA	d r uw eh l ah
DRUGGED	d r ah g d
DRUMM	d r ah m
DRUMMEY	d r ah m iy
DRYPERS	d r ay p er z
DSOUZA	d ah s uw z ah
DUBA	d uw b ah
DUBARRY	d uw b eh r iy
DUBIEL	d ah b iy l
DUBS	d ah b z
DUCHESS	d ah ch ah s
DUD	d ah d
DUDLEY	d ah d l iy
DUDZIAK	d ah jh iy ae k
DUEKER	d uw k er
DUELED	d uw ah l d
DUELS	d uw ah l z
DUENA	d uw eh n ah
DUERSON	d uh r s ah n
DUET	d uw eh t
DUFAULT	d ah f ow
DUFFETT	d ah f ih t
DUFFUS	d ah f ah s
DUG	d ah g
DUGOUTS	d ah g aw t s
DUKAKIS	d uw k aa k ih s
DUKE	d uw k
DULANY	d y uw l ao n iy
DULCEA	d ah l s iy ah
DULCINE	d ah l s ih n
DULING	d y uw l ih ng
DULLER	d ah l er
DUM	d ah m
DUMKE	d ah m k iy
DUMLAO	d uw m l aw
DUMONT	d uw m aa n t
DUNGAN	d ah ng g ah n
DUNKLE	d ah ng k ah l
DUNKLEE	d ah ng k l iy
DUNLEVY	d uw n l ih v iy
DUNMAN	d ah n m ah n
DUNNELL	d ah n ah l
DUNSTAN	d ah n s t ah n
DUPIN	d ah p ae n
DUPUIS	d ah p w iy
DURANGO	d er ae ng g ow
DURAY	d uh r ey
DURAZO	d uh r aa z ow
DURBAN	d er b ah n
DURER	d uh r er
DURETTE	d er eh t
DURFEE	d er f iy
DURHAM	d er ah m
DURICK	d y uw r ih k
DURIE	d uh r iy
DURIO	d uh r iy ow
DURNEY	d er n iy
DUSSEAU	d ah s ow
DUSTER	d ah s t er
DUSTMAN	d ah s t m ah n
DUTCH	d ah ch
DUTIL	d ah t ih l
DUTTER	d ah t er
DUVREES	d uw v r iy z
DVORSKY	d v ao r s k iy
DWARFS	d w ao r f s
DWELT	d w eh l t
DWIRE	d w ay r
DYAN	d ay ae n
DYANA	d ay ae n ah
DYANE	d ay ae n
DYAS	d ay ah s
DYCHE	d ay ch
DYED	d ay d
DYLAN	d ih l ah n
DYLEX	d ay l ah k s
