!EXCLAMATION-POINT	EH K S K L AH M EY SH AH N P OY N T
IRANIANS(2)	IH R AA N IY AH N Z
IRAQ'S(2)	IY R AA K S
IRAQ'S(3)	AY R AA K S
IRAQ(2)	IY R AA K
IRAQ(3)	AY R AA K
IRAQGATE(2)	IY R AA K G EY T
IRAQGATE(3)	AY R AA K G EY T
IRAQI'S(2)	IY R AE K IY Z
IRAQI'S(3)	AY R AE K IY Z
IRAQI(2)	IY R AE K IY
IRAQI(3)	AY R AE K IY
IRAQIS(2)	IY R AE K IY Z
IRAQIS(3)	AY R AE K IY Z
IRAS(2)	AY AA R EY Z
IRELAND(2)	AY R L AH N D
IRESON(2)	AY ER S AH N
IRETON(2)	AY ER T AH N
IRIS(2)	AY R IH S
IRIT(2)	AY AA R AY T IY
IRKUTSK(2)	IH R K UH T S K
IRONING(2)	AY R N IH NG
IRRATIONALLY(2)	IH R AE SH N AH L IY
IRREVOCABLY(2)	IH R EH V OW K AH B L IY
IRVE(2)	AY AA R V IY IY
IRWIN(2)	ER W IH N
ISAAC(2)	AY Z IH K
ISAAK(2)	AY Z AE K
ISADORE(2)	IH S AA D AO R
ISALY(2)	AY S L IY
ISHMAEL(2)	IH SH M EY L
ISLAM(2)	IH Z L AH M
ISN'T(2)	IH Z AH N
ISOELECTRONIC(2)	AY S OW IY L EH K T R AA N IH K
ISOLATED(2)	AY S AH L EY T IH D
ISOLATIONISTS(2)	AY S AH L EY SH AH N IH S
ISOLDE(2)	IH S OW L D
ISOMEDIX'S(2)	AY S OW M EH D IH K S
ISOTONER(2)	AY S OW T OW N ER
ISRAEL'S(2)	IH Z R IY AH L Z
ISRAEL(2)	IH Z R EY L
ISSAC(2)	AY Z IH K
ISTY(2)	AY EH S T IY W AY
ISU(2)	AY EH S Y UW
IT'LL(2)	IH T L
ITA(2)	AY T IY EY
ITALIA(2)	IH T AE L Y AH
ITCHES(2)	IH CH IH Z
ITZHAK(2)	IH T S AE K
ITZHAK(3)	IH T S HH AE K
IULIANO(2)	Y UW L IY AA N OW
IVORY(2)	AY V R IY
IVORY-COAST(2)	AY V R IY K OW S T
IZAGUIRRE(2)	IH Z AH G W AY R
JAAN(2)	JH AE N
JABRIL(2)	JH AH B R IH L
JACKET(2)	JH AE K IH T
JACOBIN(2)	JH AE K AH B IH N
JACQUELINE(2)	JH AE K L IH N
JACQUELINE(3)	JH AE K AH L IH N
JACQUES'(2)	JH AE K S
JACQUES(2)	JH AE K
JACQUET(2)	JH AE K EY
JADED(2)	JH EY D IH D
JAEGER(2)	Y AE G ER
JAEGERS(2)	Y AE G ER Z
JAI(2)	HH AY
JAIMIE(2)	HH AY M IY
JAIN(2)	JH EY N
JALAPENO(2)	JH AE L AH P IY N OW
JAN.(2)	JH AE N Y UW EH R IY
JANEIRO(2)	ZH AH N EH R OW
JANET'S(2)	JH AE N IH T S
JANET(2)	JH AE N IH T
JANICE(2)	JH AE N IH S
JANIERO(2)	JH AH N Y EH R OW
JAPONICA(2)	JH AH P AA N IH K AH
JAROMIR(2)	Y AA R AH M IH R
JARUZELSKI(2)	Y AE R AH Z EH L S K IY
JARVIS(2)	JH AA R V IH S
JASMINE(2)	JH AE Z M IH N
JAVELIN(2)	JH AE V AH L IH N
JAVELIN(3)	JH AE V L AH N
JAVELIN(4)	JH AE V L IH N
JE(2)	JH EY IY
JEANBERTRAND(2)	ZH AA N B EH R T R AA N D
JEANCOURT(2)	ZH AA NG K AO R T
JEFFE(2)	JH EH F IY
JELINEK(2)	JH EH L IH N EH K
JENKINS(2)	JH EH NG K IH N Z
JERRELL(2)	JH EH R AH L
JERROME(2)	JH AH R OW M
JEWEL(2)	JH UW L
JEWELER'S(2)	JH UW L ER Z
JEWELER(2)	JH UW L ER
JEWELERS(2)	JH UW L ER Z
JEWELLERS(2)	JH UW L ER Z
JEWELMASTER(2)	JH UW L M AE S T ER
JEWELRY(2)	JH UW L R IY
JEWELRY(3)	JH UW L ER IY
JEWELS(2)	JH UW L Z
JEWELSBURG(2)	JH UW L Z B ER G
JIANG(2)	JH IY AA NG
JIGGLING(2)	JH IH G L IH NG
JIHAD(2)	JH IY HH AA D
JILLIAN(2)	JH IH L Y AH N
JOACHIM'S(2)	W AA K IY M Z
JOACHIM(2)	W AA K IY M
JOACHIMS(2)	W AA K IY M Z
JOAKIMA(2)	W AA K IY M AH
JOB'S(2)	JH OW B Z
JOB(2)	JH OW B
JOETTE(2)	JH OW EH T
JOGGING(2)	JH AO G IH NG
JOHANNING(2)	JH OW HH AE N IH NG
JOHANSSON(2)	JH OW HH AA N S AH N
JOINTED(2)	JH OY N T IH D
JOINTED(3)	JH OY N IH D
JOLLA(2)	JH OW L AH
JOPLING(2)	JH OW P L IH NG
JOSEFINA(2)	JH OW Z AH F IY N AH
JOSEPH(2)	JH OW Z AH F
JOSEPHINA(2)	JH OW Z AH F IY N AH
JOSEPHS(2)	JH OW Z IH F S
JOSTLING(2)	JH AA S L IH NG
JOULWAN(2)	JH UW L HH W AA N
JOURET'S(2)	JH ER EH T S
JOURET(2)	JH ER EH T
JOURNALIST(2)	JH ER N AH L IH S T
JOURNALISTICALLY(2)	JH ER N AH L IH S T IH K L IY
JOURNALISTS(2)	JH ER N AH L IH S T S
JUAN(2)	HH W AA N
JUANA(2)	HH W AA N AH
JUANITA(2)	JH UW AH N IY T AH
JUAREZ(2)	HH W AA R EH Z
JUAREZ-ESPIN(2)	HH W AA R EH Z EH S P IH N
JUDAISM'S(2)	JH UW D IY IH Z AH M Z
JUDAISM(2)	JH UW D IY IH Z AH M
JUDGMENTAL(2)	JH AH JH M EH N AH L
JUDITH(2)	JH UW D IH TH
JUEDES(2)	Y UW EH D EH S
JUERGEN(2)	JH ER G AH N
JUERGENS(2)	JH ER G AH N Z
JUGGLER(2)	JH AH G L ER
JUGGLERS(2)	JH AH G L ER Z
JUGGLING(2)	JH AH G L IH NG
JUICES(2)	JH UW S IH Z
JULIAN(2)	JH UW L Y AH N
JULIANN(2)	JH UW L Y AH N
JULIO(2)	HH UW L IY OW
JULY'S(2)	JH AH L AY Z
JULY(2)	JH AH L AY
JUMONVILLE(2)	JH UW M AH N V IH L
JUPITER'S(2)	JH UW P IH T ER Z
JUPITER(2)	JH UW P IH T ER
JUREK(2)	Y UH R EH K
JUREWICZ(2)	Y UH R AH V IH CH
JURIS(2)	Y UH R IH S
JURISDICTION(2)	JH UH R IH S D IH K SH AH N
JURISPRUDENTIAL(2)	JH UH R AH S P R UW D EH N CH AH L
JURIST(2)	JH UH R IH S T
JUS(2)	JH AH S
JUST(2)	JH IH S T
JUSTA(2)	JH IH S T AH
JUSTICE(2)	JH AH S T IH S
JUSTICES(2)	JH AH S T IH S IH Z
JUSTIN'S(2)	JH AH S T IH N Z
JUSTIN(2)	JH AH S T IH N
JUVENILE'S(2)	JH UW V AH N AY L Z
JUVENILE(2)	JH UW V AH N AY L
JUVENILES(2)	JH UW V AH N AY L Z
KABI(2)	K AA B IY
KABLER(2)	K EY B L ER
KACHIGIAN(2)	K AH SH IH G IY AH N
KACZYNSKI'S(2)	K AH Z IH N S K IY Z
KACZYNSKI(2)	K AH Z IH N S K IY
KADAR(2)	K AH D AA R
KAFELNIKOV(2)	K AH F EH L N IH K AO V
KAHANE(2)	K AH HH EY N
KAHRE(2)	K AA R
KAL(2)	K EY EY EH L
KAMCHATKA(2)	K AA M CH AA T K AH
KAMEI(2)	K AA M EY
KAMEN(2)	K EY M EH N
KAMENS(2)	K EY M EH N Z
KAMIN(2)	K EY M IH N
KAMIN(3)	K AE M IH N
KAMINS(2)	K EY M IH N Z
KAMLER(2)	K AE M L ER
KANELL(2)	K AE N AH L
KANG(2)	K AA NG
KANIEWSKI(2)	K AA N IY UW S K IY
KANKA(2)	K AE NG K AH
KANSAS-CITY(2)	K AE N Z AH S S IH T IY
KANTOR'S(2)	K AE N T AO R Z
KAO(2)	K EY OW
KAOLIN(2)	K EY OW L IH N
KAPINOS(2)	K AE P IY N OW Z
KAPLER(2)	K EY P L ER
KARENINA(2)	K AH R EH N IH N AH
KARNOW(2)	K AA R N AW
KASHMIR(2)	K AE SH M IY R
KASLER(2)	K AE S L ER
KASPAROV(2)	K AH S P AA R AA V
KASSEBAUM'S(2)	K AE S AH B AA M Z
KASSEBAUM(2)	K AE S AH B AA M
KATHERINE(2)	K AE TH R IH N
KATYN(2)	K EY T AH N
KATYN(3)	K AH T IY N
KATZENSTEIN(2)	K AE T S AH N S T IY N
KAVNER(2)	K AO V N ER
KAWESKE(2)	K AH W EH S K IY
KAZAKHSTAN'S(2)	K AH Z AE K S T AE N Z
KAZAKHSTAN(2)	K AH Z AE K S T AE N
KAZAKHSTANA(2)	K AH Z AE K S T AE N AH
KEANU(2)	K EY AA N UW
KEISLER(2)	K AY S L ER
KEISLING(2)	K AY S L IH NG
KEIZER(2)	K IY Z ER
KELLEY(2)	OW K EH L IY
KELVIN(2)	K EH L V IH N
KENESSET(2)	K N EH S EH T
KENSLER(2)	K EH N S L ER
KENYA'S(2)	K IY N Y AH Z
KENYA(2)	K IY N Y AH
KENYAN(2)	K IY N Y AH N
KENYANS(2)	K IY N Y AH N Z
KEOGH(2)	K IY AW G
KEOKUK(2)	K IY OW K UH K
KEOUGH(2)	K IY AW G
KEPLINGER(2)	K EH P L IH NG ER
KEPT(2)	K AE P T
KERATIN(2)	K EH R AH T IH N
KERSTEIN(2)	K ER S T IY N
KERVORKIAN(2)	K ER V AO R K Y AH N
KESLER(2)	K EH S L ER
KESLING(2)	K EH S L IH NG
KETTLER(2)	K EH T L ER
KHAKI(2)	K AE K IY
KHALED(2)	K AH L AH D
KHALID'S(2)	HH AA L IH D Z
KHALID(2)	HH AA L IH D
KHOMEINI'S(2)	K OW M EY N IY Z
KHOMEINI(2)	HH OW M EY N IY
KHRUSHCHEV'S(2)	K R UW S CH AO F S
KHRUSHCHEV(2)	K R UW S CH AO F
KIAWAH(2)	K IY AH W AH
KIECHL(2)	K AY CH AH L
KIGHTLINGER(2)	K AY T L IH NG ER
KIICHI(2)	K IY CH IY
KILIMANJARO(2)	K IH L AH M AH N JH AA R OW
KILOMETER(2)	K IH L AH M IY T ER
KILOMETERS(2)	K IH L AH M IY T ER Z
KILOMETRE(2)	K IH L AH M IY T ER
KILOMETRES(2)	K IH L AH M IY T ER Z
KIMLER(2)	K IH M L ER
KINDLER(2)	K IH N D L ER
KINDS(2)	K AY N Z
KINETIC(2)	K IH N EH T IH K
KINSHASA(2)	K IH N SH AE S AH
KINSLER(2)	K IH N S L ER
KIPLINGER(2)	K IH P L IH NG ER
KIRCHBERG(2)	K ER CH B ER G
KIRKPATRICK(2)	K ER P AE T R IH K
KIRSTEIN(2)	K ER S T IY N
KIRYAS(2)	K IH R Y AA S
KIRYAT(2)	K IH R Y AA T
KISLER(2)	K IH S L ER
KISLING(2)	K IH S L IH NG
KISMAYU(2)	K IH Z M AA Y UW
KISSES(2)	K IH S IH Z
KISZCZAK(2)	K IH SH AE K
KITCHENER(2)	K IH CH N ER
KITZHABER(2)	K IH T S HH AA B ER
KJAR(2)	K EY JH EY EY AA R
KJELLBERG(2)	JH EH L B ER G
KLIMER(2)	K L AY M ER
KLINEDINST(2)	K L AY N D IH N S T
KLINEFELTER(2)	K L AY N F IH L T ER
KLINGLER(2)	K L IH NG G L ER
KLOPFENSTEIN(2)	K L AA P F AH N S T IY N
KNESSET(2)	K N EH S AH T
KNESSET(3)	K AH N EH S AH T
KNEW(2)	N Y UW
KNIEVEL(2)	N IY V AH L
KNIN(2)	K N IH N
KNIN(3)	N IH N
KNITTED(2)	N IH T IH D
KNOEDLER(2)	N OW D L ER
KNOPF(2)	N AA F
KNOWLEDGE(2)	N AA L IH JH
KOBERSTEIN(2)	K OW B ER S T IY N
KOBLER(2)	K OW B L ER
KOCH(2)	K OW K
KOEGLER(2)	K OW G L ER
KOFFLER(2)	K AA F L ER
KOFLER(2)	K OW F L ER
KOGLER(2)	K OW G L ER
KOITO(2)	K OW IY T OW
KOLLEK(2)	K OW L EH K
KOLLMORGEN(2)	K AO L M AO R G AH N
KOMISAR(2)	K AA M IH S AA R
KOMODO(2)	K OW M OW D OW
KONG'S(2)	K AO NG G Z
KONG(2)	K AO NG G
KONGSBERG'S(2)	K AO NG G Z B ER G Z
KONGSBERG(2)	K AO NG G Z B ER G
KOREA'S(2)	K R IY AH Z
KOREA'S(3)	K ER R IY AH Z
KOREA(2)	K R IY AH
KOREA(3)	K ER R IY AH
KOREAGATE(2)	K ER R IY AH G EY T
KOREAN'S(2)	K ER IY AH N Z
KOREAN(2)	K R IY AH N
KOREAN(3)	K ER R IY AH N
KOREANS'(2)	K R IY AH N Z
KOREANS'(3)	K ER R IY AH N Z
KOREANS(2)	K R IY AH N Z
KOREANS(3)	K ER R IY AH N Z
KOREAS(2)	K R IY AH Z
KOREAS(3)	K ER R IY AH Z
KORZENIEWSKI(2)	K AO R Z AH N UW F S K IY
KOSYGIN(2)	K OW S IY G IH N
KOTLER(2)	K AA T L ER
KOTSONIS'(2)	K OW T S OW N AH S
KOTSONIS'S(2)	K OW T S OW N AH S IH Z
KOTSONIS(2)	K OW T S OW N AH S
KOWTOW(2)	K OW T OW
KRAJINA'S(2)	K R AY IY N AH Z
KRAJINA(2)	K R AY IY N AH
KRAKOW(2)	K R AA K AA V
KRAKOW(3)	K R AE K AW
KREIDLER(2)	K R AY D L ER
KREMLIN(2)	K R EH M L IH N
KRISHNA(2)	K R IY SH N AH
KRZYSZTOF(2)	K R IY SH T AO F
KUBALA(2)	K UW B AA L AH
KUBLER(2)	K Y UW B L ER
KUCHERA(2)	K UW CH EH R AH
KUCHLER(2)	K AH K L ER
KUEBLER(2)	K UH B L ER
KUECHLER(2)	K UH K L ER
KUENSTLER(2)	K UH N S L ER
KUGLER(2)	K UW G L ER
KUKJE(2)	K UW K JH EY
KUKJE(3)	K UW K JH IY
KUNSTLER(2)	K AH N S L ER
KUOMINTANG'S(2)	G W OW M IH N T AE NG Z
KUOMINTANG(2)	G W OW M IH N T AE NG
KUSA(2)	K UW S AH
KUSLER(2)	K AH S L ER
KVAMME(2)	K V AA M EY
KWANGJU(2)	G W AA NG JH UW
KWASNIEWSKI(2)	K W AH Z N UW S K IY
KYI(2)	K EY W AY AY
KYO(2)	K IY OW
KYOCERA(2)	K IY OW S EH R AH
KYRGYZSTAN(2)	K IH R G IY S T AA N
L'ENFANT(2)	L AA N F AA N T
LABELING(2)	L EY B L IH NG
LABONTE(2)	L AH B AA N T IY
LABOUR(2)	L EY B ER
LACES(2)	L EY S IH Z
LAFALCE(2)	L AH F AA L S
LAFAYETTE(2)	L AA F EY EH T
LAFLER(2)	L EY F L ER
LAGERFELD(2)	L EY G ER F EH L D
LAGROCERIA(2)	L AH G R OW S ER IY AH
LAHAIE(2)	L AH HH AY
LAISSEZ(2)	L EH Z EY
LAMAGNA(2)	L AH M AA N Y AH
LAMARR(2)	L AA M AA R
LAMBASTE(2)	L AE M B EY S T
LAMBASTED(2)	L AE M B EY S T IH D
LAMBASTES(2)	L AE M B EY S T S
LAMBASTES(3)	L AE M B AE S
LAMBASTES(4)	L AE M B EY S
LAMINATE(2)	L AE M AH N EY T
LAMPPOST(2)	L AE M P OW S T
LANCASTER(2)	L AE NG K AH S T ER
LANCOME(2)	L AA N K OW M
LANDED(2)	L AE N D IH D
LANDRIEU(2)	L AE N D R IY UW
LANDSCAPE(2)	L AE N S K EY P
LANDSCAPES(2)	L AE N S K EY P S
LANDSCAPING(2)	L AE N S K EY P IH NG
LANDSLIDE(2)	L AE N S L AY D
LANDSLIDES(2)	L AE N S L AY D Z
LANGELAND(2)	L EY NG G L AH N D
LANGHAM(2)	L AE NG AH M
LANGLEY(2)	L AE NG G L IY
LANGUAGE(2)	L AE NG G W IH JH
LANGUAGES(2)	L AE NG G W IH JH IH Z
LANOLIN(2)	L AE N AH L IH N
LAOS(2)	L AW S
LAOS(3)	L EY OW S
LAOTIAN(2)	L AA OW SH AH N
LAOTIAN(3)	L AW SH AH N
LAPAROSCOPIC(2)	L AE P R AH S K AA P IH K
LAPAROSCOPY(2)	L AE P R AH S K AH P IY
LAPIDUS(2)	L AH P IY D AH S
LARCOM(2)	L AA R K AH M
LAROCHE(2)	L ER OW SH
LARYNGOSCOPE(2)	L AA R IH N JH AH S K OW P
LARYNGOSCOPIC(2)	L AA R IH N JH AH S K AA P IH K
LARYNGOSCOPICAL(2)	L AA R IH N JH AH S K AA P IH K AH L
LARYNGOSCOPICALY(2)	L AA R IH N JH AH S K AA P IH K AH L IY
LAS(2)	EH L EY EH S
LASAGNA(2)	L AH Z AA N Y AH
LASETER(2)	L AE S IH T ER
LAST(2)	L AO S T
LAST(3)	L AE S
LASTED(2)	L AE S T IH D
LAT(2)	L AE T
LATCHES(2)	L AE CH IH Z
LATINA(2)	L AH T IY N AH
LATINO(2)	L AH T IY N OW
LATS(2)	L AE T S
LATZOFF(2)	L AE T S AO F
LAUBENSTEIN(2)	L AW B AH N S T IY N
LAUDER(2)	L AW D ER
LAUDNER(2)	L AW D N ER
LAUGHLIN(2)	L AA F L IH N
LAUNCHES(2)	L AO N CH IH Z
LAURI(2)	L AA R IY
LAURIE'S(2)	L AA R IY Z
LAURIE(2)	L AA R IY
LAURITSEN(2)	L AA R IY T S AH N
LAURITZEN(2)	L AA R IY T Z AH N
LAVIE(2)	L AH V IY
LAW(2)	L AA
LAWNER(2)	L AW N ER
LAWYER(2)	L OY ER
LAWYERS(2)	L OY ER Z
LEAD(2)	L IY D
LEADBETTER(2)	L EH D B IH T ER
LEAKAGE(2)	L IY K IH JH
LEAPED(2)	L IY P T
LEAPT(2)	L IY P T
LEARNED(2)	L ER N IH D
LECITHIN(2)	L EH S IH TH IH N
LEEUWEN(2)	L Y UW AH N
LEGALITIES(2)	L IH G AE L IH T IY Z
LEGGED(2)	L EH G D
LEGIT(2)	L AH JH IH T
LEGITIMACY(2)	L IH JH IH T AH M AH S IY
LEGITIMIZE(2)	L IH JH IH T AH M AY Z
LEIBRAND'S(2)	L IY B R AE N D Z
LEIBRAND(2)	L IY B R AE N D
LEIMERT(2)	L AY M ER T
LEISURE(2)	L IY ZH ER
LEMAITRE(2)	L IH M EY T R AH
LEMING(2)	L EH M IH NG
LENGTH(2)	L EH NG TH
LENGTHEN(2)	L EH NG K TH AH N
LENGTHENED(2)	L EH NG K TH AH N D
LENGTHENING(2)	L EH NG K TH AH N IH NG
LENGTHENS(2)	L EH NG K TH AH N Z
LENGTHS(2)	L EH NG TH S
LENIENT(2)	L IY N Y AH N T
LENIN(2)	L EH N IH N
LENINGRAD(2)	L EH N IH N G R AE D
LENNANE(2)	L IY N AE N
LENO'S(2)	L IY N OW Z
LENO(2)	L IY N OW
LENSES(2)	L EH N Z IH Z
LEONI(2)	L IY OW N IY
LEONTINE(2)	L IY AA N T AY N
LES(2)	L EY
LESNIEWSKI(2)	L EH S N UW S K IY
LESSNAU(2)	L EH S N AW
LEVELER'S(2)	L EH V L ER Z
LEVELERS(2)	L EH V L ER Z
LEVELING(2)	L EH V L IH NG
LEVENSTEIN(2)	L IY V AH N S T IY N
LEVER(2)	L IY V ER
LEVERAGE(2)	L EH V R AH JH
LEVERAGE(3)	L IY V ER IH JH
LEVERAGED(2)	L EH V ER IH JH D
LEVERAGED(3)	L EH V R IH JH D
LEVERAGING(2)	L EH V ER IH JH IH NG
LEVIN'S(2)	L AH V IH N Z
LEVIN(2)	L AH V IH N
LEVIS(2)	L IY V AY Z
LEVY'S(2)	L IY V IY Z
LEVY(2)	L IY V IY
LEWINSKI(2)	L AH W IH N S K IY
LEWINSKY'S(2)	L AH W IH N S K IY Z
LEWINSKY(2)	L AH W IH N S K IY
LIABILITIES(2)	L AY AH B IH L IH T IY Z
LIAISON(2)	L EY Z AA N
LIANG(2)	L IY AE NG
LIASON(2)	L AY S AH N
LIBERAL(2)	L IH B R AH L
LIBERALISM'S(2)	L IH B R AH L IH Z AH M Z
LIBERALISM(2)	L IH B R AH L IH Z AH M
LIBERALIZATION(2)	L IH B R AH L IH Z EY SH AH N
LIBERALIZATIONS(2)	L IH B R AH L IH Z EY SH AH N Z
LIBERALIZE(2)	L IH B R AH L AY Z
LIBERALIZED(2)	L IH B R AH L AY Z D
LIBERALIZES(2)	L IH B R AH L AY Z IH Z
LIBERALIZING(2)	L IH B R AH L AY Z IH NG
LIBERALLY(2)	L IH B R AH L IY
LIBERALS'(2)	L IH B R AH L Z
LIBERALS(2)	L IH B R AH L Z
LIBRETTO(2)	L IH B R EH T OW
LICHTENSTEIN(2)	L IH K T AH N S T AY N
LIEBLING(2)	L IY B L IH NG
LIEU(2)	L Y UW
LIFTED(2)	L IH F T IH D
LIGHTED(2)	L AY T IH D
LIGHTHOUSES(2)	L AY T HH AW Z AH Z
LIKUD'S(2)	L IY K UW D Z
LIKUD(2)	L IY K UW D
LILIAN(2)	L IH L Y AH N
LILIANE(2)	L IH L IY AH N
LILLE(2)	L IY L
LIMA(2)	L IY M AH
LIMAS(2)	L IY M AH Z
LIMINE(2)	L IH M IY N
LIMITED'S(2)	L IH M IH T IH D Z
LIMITED(2)	L IH M IH T IH D
LIMITS(2)	L IH M IH T S
LIMOGES(2)	L AH M OW ZH
LIMOS(2)	L IY M OW Z
LINAFELTER(2)	L AY N AH F EH L T ER
LINEBARGER(2)	L AY N B AA R G ER
LINGER(2)	L IH NG ER
LINGERING(2)	L IH NG G R IH NG
LINKAGE(2)	L IH NG K IH JH
LIONETTI(2)	L AY AH N EH T IY
LIOTIER(2)	L IY OW T IY ER
LIPKIND(2)	L IH P K AY N D
LIPOSUCTION(2)	L AY P OW S AH K SH AH N
LIPSTEIN(2)	L IH P S T AY N
LIQUID(2)	L IH K W IH D
LIQUIDITY(2)	L IH K W IH D IH T IY
LIQUIDS(2)	L IH K W IH D Z
LISENBEE(2)	L IH S AH N B IY
LISTED(2)	L IH S T IH D
LISTENER(2)	L IH S N ER
LISTENERS(2)	L IH S N ER Z
LISTENING(2)	L IH S N IH NG
LITEM(2)	L IY T EH M
LITERALLY(2)	L IH T R AH L IY
LITTLER(2)	L IH T L ER
LIVE(2)	L IH V
LIVED(2)	L IH V D
LIVES(2)	L AY V Z
LOADED(2)	L OW D IH D
LOATHSOME(2)	L OW TH S AH M
LOCATED(2)	L OW K EY D
LOCI(2)	L OW K AY
LOCKNEY(2)	L AA K N IY
LOCKNEYS(2)	L AA K N IY Z
LODGES(2)	L AA JH IH Z
LOESSER(2)	L AA S ER
LOEW(2)	L OW
LOEWE(2)	L OW
LOEWENSTEIN(2)	L OW AH N S T IY N
LOISE(2)	L UW IY S
LONGEST(2)	L AO NG G IH S T
LOOSESTRIFE(2)	L UW S T R AY F
LOOSESTRIFES(2)	L UW S T R AY F S
LOOTED(2)	L UW T IH D
LORENZO'S(2)	L ER EH N Z OW Z
LORENZO(2)	L AO EH N Z OW
LOS(2)	L AO S
LOSES(2)	L UW Z IH Z
LOSSES(2)	L AO S IH Z
LOT(2)	L AO T
LOTHROP(2)	L OW TH R AH P
LOUANNA(2)	L UW AE N AH
LOUIS'(2)	L UW IY Z
LOUIS'(3)	L UW IH S IH Z
LOUIS(2)	L UW IY
LOWENSTEIN(2)	L OW AH N S T IY N
LOWNDES(2)	L OW N D Z
LOX(2)	L AH K S
LTD(2)	EH L T IY D IY
LUBINOV(2)	L UW B AH N AA F
LUBRICANTS(2)	L UW B R IH K AH N T S
LUBRICANTS(3)	L UW B R AH K AH N S
LUBRICANTS(4)	L UW B R IH K AH N S
LUCASFILM(2)	L UW K AH S F IH L M
LUERAS(2)	L UW EH R AH Z
LUGGAGE(2)	L AH G IH JH
LUGOSI(2)	L AH G OW S IY
LUHR(2)	L UH R
LUIGI'S(2)	L W IY JH IY Z
LUNCEFORD(2)	L AH N S F AO R D
LUXEMBOURG(2)	L AH K S AH M B ER G
LUXOTTICA'S(2)	L AH K S AA T IH K AH Z
LUXOTTICA(2)	L AH K S AA T IH K AH
LWIN(2)	EH L W IH N
LWIN(3)	L UW IH N
LXI(2)	EH L EH K S AY
LYANNE(2)	L AY AE N
LYCOMING(2)	L AY K OW M IH NG
LYNETTE(2)	L IH N EH T
LYONNAIS(2)	L AY AH N EY Z
LYPHOMED'S(2)	L IH F AH M EH D Z
LYPHOMED(2)	L IH F AH M EH D
M'BOW(2)	EH M B OW
MACABRE(2)	M AH K AA B ER
MACEDONIA(2)	M AE K AH D OW N IY AH
MACEDONIAN(2)	M AE K AH D OW N Y AH N
MACEWAN(2)	M EY S W AA N
MACEWEN(2)	M EY S W AA N
MACHETE(2)	M AH CH EH T IY
MACHETES(2)	M AH CH EH T IY Z
MACHIAVELLI'S(2)	M AA K Y AH V EH L IY Z
MACHIAVELLI(2)	M AA K Y AH V EH L IY
MACHIAVELLIAN(2)	M AA K Y AH V EH L IY AH N
MACHINATION(2)	M AE SH AH N EY SH AH N
MACHINATIONS(2)	M AE SH AH N EY SH AH N Z
MACHINERIES(2)	M AH SH IY N R IY Z
MACHINERY(2)	M AH SH IY N R IY
MACHISMO(2)	M AH K IH Z M OW
MACIEJEWSKI(2)	M AH CH UW S K IY
MACKIEWICZ(2)	M AE K Y AH W IH T S
MACPHERSON'S(2)	M AH K F IH R S AH N Z
MACPHERSON(2)	M AH K F IH R S AH N
MACROECONOMIC(2)	M AE K R OW IY K AH N AA M IH K
MACROECONOMICS(2)	M AE K R OW IY K AH N AA M IH K S
MADAME(2)	M AH D AE M
MADDENING(2)	M AE D N IH NG
MADDENINGLY(2)	M AE D N IH NG L IY
MADELYN(2)	M AE D L IH N
MADEWELL(2)	M EY D W EH L
MADISON'S(2)	M AE D IH S AH N Z
MADISON(2)	M AE D IH S AH N
MADRIGAL(2)	M AE D R IH G AH L
MADRIGALS(2)	M AE D R IH G AH L Z
MADYUN(2)	M AE D Y AH N
MAGER(2)	M EY G ER
MAGICALLY(2)	M AE JH IH K L IY
MAGINNIS(2)	M AH G IH N IH S
MAGINOT(2)	M AE JH IH N AH T
MAGISTRATE(2)	M AE JH IH S T R EY T
MAGLAJ'S(2)	M AE G L AY Z
MAGLAJ(2)	M AE G L AY
MAGNATE(2)	M AE G N EY T
MAGNETICALLY(2)	M AE G N EH T IH K L IY
MAGNIFICENT(2)	M AE G N IH F IH S AH N T
MAHATHIR(2)	M AH HH AE TH IH R
MAHATHIR(3)	M AH HH AA TH IH R
MAHEN(2)	M EY AH N
MAHMOOD(2)	M AA M UW D
MAHMOUD(2)	M AA M UW D
MAHMUD(2)	M AA M UW D
MAINLAND(2)	M EY N L AH N D
MAINTENANCE(2)	M EY N T N AH N S
MAJESTICALLY(2)	M AH JH EH S T IH K L IY
MALADICH(2)	M AE L AH D IH CH
MALATHION(2)	M AH L AE TH IY AH N
MALEFACTOR(2)	M AE L F AE K T ER
MALEFACTORS(2)	M AE L F AE K T ER Z
MALICE(2)	M AE L IH S
MALIN(2)	M EY L IH N
MALPRACTICE(2)	M AE L P R AE K T IH S
MAM(2)	EH M EY EH M
MAMMALIAN(2)	M AH M EY L Y AH N
MANAGE(2)	M AE N IH JH
MANAGED(2)	M AE N IH JH D
MANAGEMENT(2)	M AE N IH JH M AH N T
MANAGER(2)	M AE N IH JH ER
MANAGERS(2)	M AE N IH JH ER Z
MANDIBLE(2)	M AE N D IH B AH L
MANET(2)	M AA N EY
MANEUVERABILITY(2)	M AH N UW V R AH B IH L IH T IY
MANGLING(2)	M AE NG G L IH NG
MANGROVE(2)	M AE NG G R OW V
MANIFESTO(2)	M AE N IH F EH S T OW
MANIFOLD(2)	M AE N IH F OW L D
MANIPLES(2)	M AE N IH P AH L Z
MANNERIST(2)	M AE N ER IH S T
MAORIS(2)	M AW R IY Z
MARCHAND(2)	M AA R CH AE N D
